"","TeamA","Agmean","AgSD","Agskew","Aogmean","AogSD","Aogskew","Awins","Aties","Year"
"1","BeiYe","1.76470588235294","1.14724734499071","-0.0355865575557842","0.882352941176471","0.857492925712544","0.203377145674881","0.529411764705882","0.411764705882353","2008"
"2","BneSa","0.75","1.12546286774228","0.986436247912962","1.25","1.12546286774228","0.328812082637654","0.3125","0.1875","2008"
"3","BneTA","1.17647058823529","1.01459931239178","0.348447264452631","0.764705882352941","0.903424856082804","0.912598980933672","0.529411764705882","0.235294117647059","2008"
"4","HacRG","0.8125","0.75","0.274305555555556","1.1875","1.16726175299288","0.840925096121824","0.1875","0.4375","2008"
"5","HapAc","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"6","HapAs","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"7","HapBS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"8","HapHa","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"9","HapKS","0.625","0.61913918736689","0.345632403155548","1.25","1.12546286774228","0.0657624165275308","0.1875","0.3125","2008"
"10","HapPT","0.875","0.957427107756338","0.654274826219853","1.0625","1.12361025271221","0.9448553278156","0.3125","0.25","2008"
"11","HapRa","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"12","HapRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"13","HapRL","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"14","HapRS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"15","HapTA","1.76470588235294","1.03255821656129","0.441513428980892","0.705882352941177","0.77174363314129","0.491537944344542","0.647058823529412","0.294117647058824","2008"
"16","MacAN","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"17","MacHa","1.64705882352941","0.931475742477242","-0.185863858714894","0.823529411764706","0.88284300116492","0.828840437841093","0.647058823529412","0.294117647058824","2008"
"18","MacNa","1.17647058823529","0.88284300116492","0.197004900643172","1","1","0.352941176470588","0.411764705882353","0.352941176470588","2008"
"19","MacPT","0.764705882352941","0.831370236770739","0.412308984358593","1","1.06066017177982","0.591566457463255","0.294117647058824","0.352941176470588","2008"
"20","MacTA","0.9375","0.928708781050335","0.579711491006924","1.0625","0.853912563829966","0.496402028177481","0.25","0.4375","2008"
"21","MemAs","1.5","1.36626010212795","0.588154061821661","1.375","1.25830573921179","0.0764656015345116","0.5","0.1875","2008"
"22","BeiYe","1.52941176470588","1.41940335435455","0.807994001554896","0.882352941176471","0.927520413601263","0.655055089385616","0.529411764705882","0.176470588235294","2009"
"23","BneSa","1.23529411764706","0.970142500145332","0.331703134240867","1","1.2747548783982","1.02228863203253","0.470588235294118","0.294117647058824","2009"
"24","BneTA","1.23529411764706","0.903424856082804","-0.433939987304214","1","0.866025403784439","0.54338848864906","0.411764705882353","0.294117647058824","2009"
"25","HacRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"26","HapAc","1","0.866025403784439","0.54338848864906","1.35294117647059","1.11474080342631","0.34824098897448","0.176470588235294","0.529411764705882","2009"
"27","HapAs","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"28","HapBS","1.58823529411765","1.06412073618386","0.515881020039963","1.41176470588235","1.41681083464818","0.292426004329809","0.529411764705882","0.117647058823529","2009"
"29","HapHa","1.22222222222222","1.1143742932065","0.310258403941459","1.38888888888889","1.09215862287323","0.523851750881442","0.277777777777778","0.277777777777778","2009"
"30","HapKS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"31","HapPT","1","0.90748521297303","0.446025895491846","1","1.02899151085505","1.22378002731321","0.277777777777778","0.555555555555556","2009"
"32","HapRa","1.23529411764706","1.14724734499071","0.736803498484534","1.58823529411765","1.17573506419451","0.561302112504439","0.294117647058824","0.235294117647059","2009"
"33","HapRG","0.722222222222222","0.894792486988599","0.987038639939417","1.5","1.58113883008419","0.632455532033676","0.222222222222222","0.388888888888889","2009"
"34","HapRL","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"35","HapRS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"36","HapTA","2.88888888888889","1.87519062211847","0.302898818553847","0.944444444444444","1.1617543641469","0.737929072638931","0.722222222222222","0.222222222222222","2009"
"37","MacAN","1","1","0.705882352941176","2.35294117647059","1.90201131932056","0.700716491227449","0.235294117647059","0.117647058823529","2009"
"38","MacHa","1.94444444444444","1.25895485235231","-0.0697763175427342","0.444444444444444","0.511309992564914","0.205234149793417","0.833333333333333","0.111111111111111","2009"
"39","MacNa","1.5","1.211060141639","1.37229503394656","1.0625","1.12361025271221","0.416149395748292","0.4375","0.25","2009"
"40","MacPT","1.1875","1.04682058316281","0.307745410454847","1.375","1.1474609652039","0.286991644027073","0.25","0.3125","2009"
"41","MacTA","1.61111111111111","1.14475216371923","0.298095659583775","0.944444444444444","1.1617543641469","1.1631021957006","0.555555555555556","0.277777777777778","2009"
"42","MemAs","1.47058823529412","1.3746657347708","0.80485366155448","1.11764705882353","1.26897364734145","0.831330676622735","0.529411764705882","0.235294117647059","2009"
"43","BeiYe","1.44444444444444","1.7895849739772","0.870719343380116","0.611111111111111","0.777544316035229","0.714929311541263","0.5","0.277777777777778","2010"
"44","BneSa","0.882352941176471","0.600245047998781","0.0169410367076121","1.23529411764706","1.20049009599756","0.391055597334042","0.294117647058824","0.235294117647059","2010"
