Round,TeamA,TeamB,GoalsA,GoalsB,Year
1,MacTA,MacHa,2,1,2012
1,HapKS,BeiYe,3,2,2012
1,HapHa,MacNa,0,0,2012
1,HapBS,BneSa,0,0,2012
1,MemAs,HapRS,2,0,2012
1,HapAc,BneTA,1,1,2012
1,HapRG,HapTA,0,1,2012
3,HapHa,MacTA,1,3,2012
3,HapKS,MacNa,0,1,2012
3,HapBS,MacHa,1,1,2012
3,MemAs,BeiYe,2,1,2012
3,HapAc,BneSa,5,1,2012
3,HapRG,HapRS,1,1,2012
3,HapTA,BneTA,2,0,2012
5,HapHa,HapKS,1,1,2012
5,HapBS,MacTA,3,1,2012
5,MemAs,MacNa,3,0,2012
5,HapAc,MacHa,0,0,2012
5,HapRG,BeiYe,2,2,2012
5,HapTA,BneSa,1,0,2012
5,BneTA,HapRS,2,2,2012
7,HapHa,HapBS,0,0,2012
7,MemAs,HapKS,2,0,2012
7,HapAc,MacTA,0,2,2012
7,HapRG,MacNa,1,1,2012
7,HapTA,MacHa,3,0,2012
7,BneTA,BeiYe,1,2,2012
7,HapRS,BneSa,1,3,2012
9,HapHa,MemAs,2,1,2012
9,HapAc,HapBS,2,2,2012
9,HapRG,HapKS,1,1,2012
9,HapTA,MacTA,1,0,2012
9,BneTA,MacNA,3,0,2012
9,HapRS,HapHa,1,1,2012
9,BneSa,BeiYe,1,1,2012
11,HapHa,HapAc,0,0,2012
11,HapRG,MemAs,0,1,2012
11,HapTA,HapBS,4,1,2012
11,BneTA,HapKS,0,2,2012
11,HapRS,MacTA,3,4,2012
11,BneSa,MacNa,0,0,2012
11,BeiYe,MacHa,1,2,2012
13,HapRG,HapHa,1,1,2012
13,HapTA,HapAc,0,0,2012
13,BneTA,MemAs,2,0,2012
13,HapRS,HapBS,0,1,2012
13,BneSa,HapKS,1,3,2012
13,BeiYe,MacTA,1,1,2012
13,MacHa,MacNa,1,0,2012
15,HapHa,HapTA,2,2,2012
15,HapRG,BneYe,1,0,2012
15,HapAc,HapRS,0,2,2012
15,MemAs,BneSa,1,2,2012
15,HapBS,BeiYe,0,0,2012
15,HapKS,MacHa,0,0,2012
15,MacTA,MacNa,2,1,2012
17,HapHa,BneTA,2,1,2012
17,HapTA,HapRS,1,0,2012
17,HapRG,BneSa,2,1,2012
17,HapAc,BeiYe,2,3,2012
17,MemAs,MacHa,1,4,2012
17,HapBS,MacNa,1,3,2012
17,HapKS,MacTA,0,0,2012
