Round,TeamA,TeamB,GoalsA,GoalsB,Year
1,HapTA,MacNa,1,0,2014
1,HapRa,HapPT,4,0,2014
1,HapAc,HapHa,1,1,2014
1,MemAs,HapKS,0,0,2014
1,HapBS,BeiYe,1,1,2014
1,MacPT,MacTA,0,3,2014
1,MacHa,BneSa,4,2,2014
2,HapPT,HapBS,1,3,2014
2,HapHa,MemAs,0,2,2014
2,BneSa,HapAc,1,1,2014
2,MacNa,MacPT,4,4,2014
2,HapKS,HapTA,3,0,2014
2,MacTA,HapRa,2,0,2014
2,BeiYe,MacHa,1,0,2014
3,HapTA,HapHa,3,0,2014
3,MacPT,HapRa,3,2,2014
3,MemAs,BneSa,2,2,2014
3,MacNa,HapKS,1,2,2014
3,HapAc,BeiYe,1,1,2014
3,MacHa,HapPT,3,1,2014
3,HapBS,MacTA,3,2,2014
4,HapHa,MacNa,3,2,2014
4,HapRa,HapBS,1,1,2014
4,HapKS,MacPT,3,0,2014
4,HapPT,HapAc,4,1,2014
4,BneSa,HapTA,1,1,2014
4,BeiYe,MemAs,1,1,2014
4,MacTA,MacHa,3,1,2014
5,MacPT,HapBS,0,4,2014
5,MacHa,HapRa,0,2,2014
5,MemAs,HapPT,1,3,2014
5,MacNa,BneSa,2,1,2014
5,HapKS,HapHa,1,0,2014
5,HapAc,MacTA,1,4,2014
5,HapTA,BeiYe,0,2,2014
6,HapHa,MacPT,0,1,2014
6,BneSa,HapKS,1,4,2014
6,HapBS,MacHa,2,0,2014
6,HapRa,HapAc,0,2,2014
6,MacTA,MemAs,5,2,2014
6,BeiYe,MacNa,1,1,2014
6,HapPT,HapTA,0,1,2014
7,MacPT,MacHa,1,0,2014
7,HapHa,BneSa,0,3,2014
7,MemAs,HapRa,1,2,2014
7,HapAc,HapBS,1,1,2014
7,MacNa,HapPT,3,1,2014
7,HapKS,BeiYe,1,1,2014
7,HapTA,MacTA,0,0,2014
8,MacHa,HapAc,1,0,2014
8,HapBS,MemAs,2,1,2014
8,HapPT,HapKS,1,3,2014
8,BeiYe,HapHa,0,1,2014
8,HapRa,HapTA,0,1,2014
8,MacTA,MacNa,3,1,2014
8,BneSa,MacPT,1,1,2014
9,HapTA,HapBS,3,2,2014
9,HapHa,HapPT,1,1,2014
9,MacPT,HapAc,0,0,2014
9,MacNa,HapRa,1,0,2014
9,MemAs,MacHa,1,0,2014
9,BneSa,BeiYe,1,0,2014
9,HapKS,MacTA,2,1,2014
10,HapRa,HapKS,0,0,2014
10,HapBS,MacNa,4,0,2014
10,HapAc,MemAs,0,1,2014
10,HapPT,BneSa,2,1,2014
10,MacTA,HapHa,3,0,2014
10,MacHa,HapTA,3,1,2014
10,BeiYe,MacPT,2,3,2014
11,HapHa,HapRa,1,0,2014
11,HapKS,HapBS,1,1,2014
11,MacNa,MacHa,0,4,2014
11,HapTA,HapAc,1,3,2014
11,BneSa,MacTA,1,3,2014
11,MacPT,MemAs,1,1,2014
11,BeiYe,HapPT,3,1,2014
12,MacHa,HapKS,1,3,2014
12,HapRa,BneSa,1,1,2014
12,HapAc,MacNa,1,2,2014
12,HapBS,HapHa,4,0,2014
12,MemAs,HapTA,3,1,2014
12,MacPT,HapPT,1,2,2014
12,MacTA,BeiYe,1,1,2014
13,MacNa,MemAs,0,0,2014
13,HapPT,MacTA,1,3,2014
13,HapKS,HapAc,2,2,2014
13,BneSa,HapBS,2,0,2014
13,HapTA,MacPT,1,2,2014
13,HapHa,MacHa,0,4,2014
13,BeiYe,HapRa,0,0,2014
14,HapHa,HapAc,1,0,2014
14,HapKS,MemAs,1,0,2014
14,HapPT,HapRa,0,0,2014
14,BneSa,MacHa,1,1,2014
14,MacNa,HapTA,0,2,2014
14,MacTA,MacPT,3,0,2014
14,BeiYe,HapBS,0,3,2014
15,HapBS,HapPT,2,1,2014
15,HapAc,BneSa,1,3,2014
15,MacPT,MacNa,0,1,2014
15,MemAs,HapHa,0,1,2014
